lat,lon,amenity,name,coordinates,city,cluster,is_chain
49.1637058,-122.8909132,restaurant,desijunctionloungeandrestaurant,"49.1637058,-122.8909132",Delta,11,False
49.1485074,-122.8714418,restaurant,mayuriindiancuisine,"49.1485074,-122.8714418",Surrey,2,False
49.11765,-122.6689767,restaurant,chucke.cheeses,"49.11765,-122.6689767",Township of Langley,21,False
49.1754035,-123.1342502,restaurant,no.9restaurant,"49.1754035,-123.1342502",Richmond,3,False
49.1707675,-123.1358591,restaurant,haidilaohotpot,"49.1707675,-123.1358591",Richmond,3,False
49.2225148,-122.6904636,pub,jollycoachmanpub,"49.2225148,-122.6904636",NONE,32,False
49.2630411,-123.1015414,restaurant,fablediner,"49.2630411,-123.1015414",Vancouver,0,False
49.1036075,-122.492109,restaurant,lotusgardenexpress,"49.1036075,-122.492109",Township of Langley,5,False
49.1772664,-122.6731048,restaurant,zythos,"49.1772664,-122.6731048",Township of Langley,21,False
49.0513337,-122.692377,restaurant,kalamakigreekgrill,"49.0513337,-122.692377",Surrey,33,False
49.2012847,-122.9125513,restaurant,hubrestaurantnewwest,"49.2012847,-122.9125513",New Westminster,6,False
49.2814683,-123.1172443,restaurant,glowbal,"49.2814683,-123.1172443",Vancouver,0,False
49.125282,-123.1847472,cafe,stevestonscoffeeco.,"49.125282,-123.1847472",Richmond,3,False
49.2189484,-122.9690302,restaurant,masitakoreanrestaurant,"49.2189484,-122.9690302",Burnaby,36,False
49.2190745,-122.9694701,restaurant,roadsidespicypot,"49.2190745,-122.9694701",Burnaby,36,False
49.2179175,-123.0766614,fast_food,hometownpizza,"49.2179175,-123.0766614",Vancouver,26,False
49.2329149,-123.0761197,pub,eastsidecrafthouse,"49.2329149,-123.0761197",Vancouver,26,False
49.2842334,-123.1090325,restaurant,waterstreetcafe,"49.2842334,-123.1090325",Vancouver,0,False
49.263537,-123.1271949,restaurant,minatojapaneserestaurant,"49.263537,-123.1271949",Vancouver,0,False
49.2635072,-123.1248994,restaurant,saravanaabhavan(southindian),"49.2635072,-123.1248994",Vancouver,0,False
49.2636456,-123.1316944,restaurant,royalseoulhouse,"49.2636456,-123.1316944",Vancouver,0,False
49.2633312,-123.1130836,restaurant,menyaraizo,"49.2633312,-123.1130836",Vancouver,0,False
49.2370364,-123.0656459,restaurant,sandylachineserestaurant,"49.2370364,-123.0656459",Vancouver,26,False
49.316484,-122.9533431,pub,ravenpub,"49.316484,-122.9533431",District of North Vancouver,12,False
49.2412681,-123.1016459,restaurant,aupetitcafe,"49.2412681,-123.1016459",Vancouver,34,False
49.2899852,-123.1334918,restaurant,sushiitoga,"49.2899852,-123.1334918",Vancouver,0,False
49.2623252,-123.0886437,restaurant,nhatrangrestaurant,"49.2623252,-123.0886437",Vancouver,37,False
49.1848929,-122.9493423,restaurant,luckysushi,"49.1848929,-122.9493423",New Westminster,6,False
49.2607875,-123.1008067,restaurant,malithaifood,"49.2607875,-123.1008067",Vancouver,34,False
49.184369,-122.9507625,fast_food,queensboropizza,"49.184369,-122.9507625",New Westminster,6,False
49.2798592,-122.7997004,restaurant,rickysbarandgrill,"49.2798592,-122.7997004",Coquitlam,39,False
49.2785219,-122.8142905,restaurant,coquitlamgrill,"49.2785219,-122.8142905",Coquitlam,39,False
49.2565154,-122.7481768,restaurant,pocosushi,"49.2565154,-122.7481768",Port Coquitlam,14,False
49.2785872,-122.8510267,pub,parksidebrewing,"49.2785872,-122.8510267",Port Moody,17,False
49.2766562,-122.8310949,restaurant,jokerspizzaria,"49.2766562,-122.8310949",Port Moody,17,False
49.2844578,-123.0656991,restaurant,scandelicious,"49.2844578,-123.0656991",Vancouver,37,False
49.2273356,-122.9997733,cafe,mccafe,"49.2273356,-122.9997733",Burnaby,36,False
49.2272898,-123.0001015,fast_food,unisushiexpress,"49.2272898,-123.0001015",Burnaby,36,False
49.2112394,-122.9353594,restaurant,dominopizza,"49.2112394,-122.9353594",New Westminster,6,False
49.2262286,-123.0014923,restaurant,fortunehouseseafoodrestaurant,"49.2262286,-123.0014923",Burnaby,36,False
49.1176829,-122.6694722,restaurant,legendarynoodle,"49.1176829,-122.6694722",Township of Langley,21,False
49.1186802,-122.6700701,fast_food,freshdonair,"49.1186802,-122.6700701",Township of Langley,21,False
49.1186793,-122.6698975,restaurant,wildwing,"49.1186793,-122.6698975",Township of Langley,21,False
49.213342,-122.9375173,fast_food,quickbite,"49.213342,-122.9375173",New Westminster,6,False
49.2232465,-122.982719,restaurant,pottersgarden,"49.2232465,-122.982719",Burnaby,36,False
49.2344287,-123.0360721,restaurant,chefpin,"49.2344287,-123.0360721",Vancouver,26,False
49.2623272,-123.0898418,restaurant,klasikinasal,"49.2623272,-123.0898418",Vancouver,37,False
49.2255444,-122.9968024,fast_food,chopntoss,"49.2255444,-122.9968024",Burnaby,36,False
49.2258877,-122.9975787,fast_food,cheftonydimsum,"49.2258877,-122.9975787",Burnaby,36,False
49.2285933,-122.9995392,cafe,sulmida,"49.2285933,-122.9995392",Burnaby,36,False
49.2254008,-122.997067,fast_food,koyajapan,"49.2254008,-122.997067",Burnaby,36,False
49.2255226,-122.9977261,fast_food,chachi's,"49.2255226,-122.9977261",Burnaby,36,False
49.2255531,-122.9977931,fast_food,ugrill,"49.2255531,-122.9977931",Burnaby,36,False
49.2274297,-123.0001335,bar,menchies,"49.2274297,-123.0001335",Burnaby,36,False
49.2273734,-123.0000139,restaurant,kawawa,"49.2273734,-123.0000139",Burnaby,36,False
49.2259279,-122.9975146,fast_food,crepedelicious,"49.2259279,-122.9975146",Burnaby,36,False
49.2258084,-122.9977187,fast_food,curryexpress,"49.2258084,-122.9977187",Burnaby,36,False
49.2258501,-122.9976493,fast_food,bourbonst.grill,"49.2258501,-122.9976493",Burnaby,36,False
49.2274703,-122.9998197,fast_food,theamericancheesesteakco.,"49.2274703,-122.9998197",Burnaby,36,False
49.291675,-123.1348931,restaurant,radondenman,"49.291675,-123.1348931",Vancouver,0,False
49.2284012,-123.0046672,cafe,sunshine,"49.2284012,-123.0046672",Burnaby,36,False
49.2284147,-123.0045206,restaurant,chuandong,"49.2284147,-123.0045206",Burnaby,36,False
