,lat1,lat2,lon1,lon2
2481,49.19913022661875,49.20812303237415,-122.61902496558923,-122.60526193848906
2482,49.19913022661875,49.20812303237415,-122.60526193848906,-122.5914989113889
2483,49.19913022661875,49.20812303237415,-122.5914989113889,-122.57773588428873
2484,49.19913022661875,49.20812303237415,-122.57773588428873,-122.56397285718856
2485,49.19913022661875,49.20812303237415,-122.56397285718856,-122.55020983008839
2486,49.19913022661875,49.20812303237415,-122.55020983008839,-122.53644680298822
2487,49.19913022661875,49.20812303237415,-122.53644680298822,-122.52268377588805
2488,49.19913022661875,49.20812303237415,-122.52268377588805,-122.50892074878789
2489,49.19913022661875,49.20812303237415,-122.50892074878789,-122.49515772168772
2490,49.19913022661875,49.20812303237415,-122.49515772168772,-122.48139469458755
2491,49.19913022661875,49.20812303237415,-122.48139469458755,-122.46763166748738
2492,49.19913022661875,49.20812303237415,-122.46763166748738,-122.45386864038721
2493,49.19913022661875,49.20812303237415,-122.45386864038721,-122.44010561328705
2494,49.19913022661875,49.20812303237415,-122.44010561328705,-122.42634258618688
2495,49.19913022661875,49.20812303237415,-122.42634258618688,-122.41257955908671
2496,49.19913022661875,49.20812303237415,-122.41257955908671,-122.39881653198654
2497,49.19913022661875,49.20812303237415,-122.39881653198654,-122.38505350488637
2498,49.19913022661875,49.20812303237415,-122.38505350488637,-122.3712904777862
2499,49.19913022661875,49.20812303237415,-122.3712904777862,-122.35752745068604
2500,49.19913022661875,49.20812303237415,-122.35752745068604,-122.34376442358587
2501,49.19913022661875,49.20812303237415,-122.34376442358587,-122.3300013964857
2502,49.19913022661875,49.20812303237415,-122.3300013964857,-122.31623836938553
2503,49.19913022661875,49.20812303237415,-122.31623836938553,-122.30247534228536
2504,49.19913022661875,49.20812303237415,-122.30247534228536,-122.2887123151852
2505,49.19913022661875,49.20812303237415,-122.2887123151852,-122.27494928808503
2506,49.19913022661875,49.20812303237415,-122.27494928808503,-122.26118626098486
2507,49.19913022661875,49.20812303237415,-122.26118626098486,-122.24742323388469
2508,49.19913022661875,49.20812303237415,-122.24742323388469,-122.23366020678452
2509,49.19913022661875,49.20812303237415,-122.23366020678452,-122.21989717968435
2510,49.19913022661875,49.20812303237415,-122.21989717968435,-122.20613415258418
2511,49.19913022661875,49.20812303237415,-122.20613415258418,-122.19237112548402
2512,49.19913022661875,49.20812303237415,-122.19237112548402,-122.17860809838385
2513,49.19913022661875,49.20812303237415,-122.17860809838385,-122.16484507128368
2514,49.19913022661875,49.20812303237415,-122.16484507128368,-122.15108204418351
2515,49.19913022661875,49.20812303237415,-122.15108204418351,-122.13731901708334
2516,49.19913022661875,49.20812303237415,-122.13731901708334,-122.12355598998317
2517,49.19913022661875,49.20812303237415,-122.12355598998317,-122.109792962883
2518,49.19913022661875,49.20812303237415,-122.109792962883,-122.09602993578284
2519,49.19913022661875,49.20812303237415,-122.09602993578284,-122.08226690868267
2520,49.19913022661875,49.20812303237415,-122.08226690868267,-122.0685038815825
2521,49.19913022661875,49.20812303237415,-122.0685038815825,-122.05474085448233
2522,49.19913022661875,49.20812303237415,-122.05474085448233,-122.04097782738216
2523,49.19913022661875,49.20812303237415,-122.04097782738216,-122.027214800282
2524,49.19913022661875,49.20812303237415,-122.027214800282,-122.01345177318183
2525,49.19913022661875,49.20812303237415,-122.01345177318183,-121.99968874608166
2526,49.20812303237415,49.217115838129544,-123.4998587,-123.4860931697789
2527,49.20812303237415,49.217115838129544,-123.4860931697789,-123.47232763955779
2528,49.20812303237415,49.217115838129544,-123.47232763955779,-123.45856210933668
2529,49.20812303237415,49.217115838129544,-123.45856210933668,-123.44479657911558
2530,49.20812303237415,49.217115838129544,-123.44479657911558,-123.43103104889447
2531,49.20812303237415,49.217115838129544,-123.43103104889447,-123.41726551867336
2532,49.20812303237415,49.217115838129544,-123.41726551867336,-123.40349998845225
2533,49.20812303237415,49.217115838129544,-123.40349998845225,-123.38973445823115
2534,49.20812303237415,49.217115838129544,-123.38973445823115,-123.37596892801004
2535,49.20812303237415,49.217115838129544,-123.37596892801004,-123.36220339778893
2536,49.20812303237415,49.217115838129544,-123.36220339778893,-123.34843786756782
2537,49.20812303237415,49.217115838129544,-123.34843786756782,-123.33467233734672
2538,49.20812303237415,49.217115838129544,-123.33467233734672,-123.32090680712561
2539,49.20812303237415,49.217115838129544,-123.32090680712561,-123.3071412769045
2540,49.20812303237415,49.217115838129544,-123.3071412769045,-123.2933757466834
2541,49.20812303237415,49.217115838129544,-123.2933757466834,-123.27961021646229
2542,49.20812303237415,49.217115838129544,-123.27961021646229,-123.26584468624118
2543,49.20812303237415,49.217115838129544,-123.26584468624118,-123.25207915602007
2544,49.20812303237415,49.217115838129544,-123.25207915602007,-123.23831362579897
2545,49.20812303237415,49.217115838129544,-123.23831362579897,-123.22454809557786
2546,49.20812303237415,49.217115838129544,-123.22454809557786,-123.21078256535675
